Title,Week,List,Rank,Author,Price,ISBN,Previous Rank,Weeks on List
Before We Were Yours,3/21/2018,Hardcover Nonfiction,15,Lisa Wingate,26,9780425284681,15,2
Russian Roulette,3/28/2018,Hardcover Nonfiction,1,Michael Isikoff,30,9781538728758,1,2
Educated (An Indies Introduce Title),3/28/2018,Hardcover Nonfiction,2,Tara Westover,28,9780399590504,2,5
Astrophysics for People in a Hurry,3/28/2018,Hardcover Nonfiction,3,Neil deGrasse Tyson,18.95,9780393609394,3,47
The Subtle Art of Not Giving A F*ck,3/28/2018,Hardcover Nonfiction,4,Mark Manson,24.99,9780062457714,4,51
Fire and Fury,3/28/2018,Hardcover Nonfiction,5,Michael Wolff,30,9781250158062,5,12
I've Been Thinking...,3/28/2018,Hardcover Nonfiction,6,Maria Shriver,20,9780525522607,7,4
Enlightenment Now,3/28/2018,Hardcover Nonfiction,7,Steven Pinker,35,9780525427575,8,6
12 Rules for Life,3/28/2018,Hardcover Nonfiction,8,Jordan B. Peterson,25.95,9780345816023,10,6
The Last Black Unicorn,3/28/2018,Hardcover Nonfiction,9,Tiffany Haddish,26,9781501181825,6,13
Obama: An Intimate Portrait,3/28/2018,Hardcover Nonfiction,10,Pete Souza,50,9780316512589,9,14
I'll Be Gone in the Dark,3/28/2018,Hardcover Nonfiction,11,Michelle McNamara,27.99,9780062319784,12,4
Leonardo da Vinci,3/28/2018,Hardcover Nonfiction,12,Walter Isaacson,35,9781501139154,11,23
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,3/28/2018,Hardcover Nonfiction,13,Peter Schweizer,28.99,9780062569363,,1
Principles,3/28/2018,Hardcover Nonfiction,14,Ray Dalio,30,9781501124020,15,18
Born a Crime,3/28/2018,Hardcover Nonfiction,15,Trevor Noah,28,9780399588174,,24
No Middle Name,3/7/2018,Mass Market,1,Lee Child,9.99,9780399593598,1,9
Red Sparrow,3/7/2018,Mass Market,2,Jason Matthews,9.99,9781501168918,4,2
The Whistler,3/7/2018,Mass Market,3,John Grisham,9.99,9781101967683,3,34
The Fix,3/7/2018,Mass Market,4,David Baldacci,9.99,9781455586585,,1
Ready Player One,3/7/2018,Mass Market,5,Ernest Cline,9.99,9780804190145,2,4
Never Never,3/7/2018,Mass Market,6,James Patterson,9.99,9781478944782,5,10
The Husband's Secret,3/7/2018,Mass Market,7,Liane Moriarty,9.99,9780451490049,7,33
Dragon Teeth,3/7/2018,Mass Market,8,Michael Crichton,9.99,9780062473363,8,14
Thomas Jefferson and the Tripoli Pirates,3/7/2018,Mass Market,9,Brian Kilmeade,9.99,9780143131830,,3
The Cutthroat,3/7/2018,Mass Market,10,Clive Cussler,9.99,9780399575624,,1
Camino Island,3/14/2018,Mass Market,1,John Grisham,9.99,9781524797157,,1
No Middle Name,3/14/2018,Mass Market,2,Lee Child,9.99,9780399593598,1,10
The Fix,3/14/2018,Mass Market,3,David Baldacci,9.99,9781455586585,4,2
Red Sparrow,3/14/2018,Mass Market,4,Jason Matthews,9.99,9781501168918,2,3
Ready Player One,3/14/2018,Mass Market,5,Ernest Cline,9.99,9780804190145,5,5
The Whistler,3/14/2018,Mass Market,6,John Grisham,9.99,9781101967683,3,35
The Cutthroat,3/14/2018,Mass Market,7,Clive Cussler,9.99,9780399575624,10,2
The Husband's Secret,3/14/2018,Mass Market,8,Liane Moriarty,9.99,9780451490049,7,34
Never Never,3/14/2018,Mass Market,9,James Patterson,9.99,9781478944782,6,11
Dragon Teeth,3/14/2018,Mass Market,10,Michael Crichton,9.99,9780062473363,8,15
Camino Island,3/21/2018,Mass Market,1,John Grisham,9.99,9781524797157,1,2
Ready Player One,3/21/2018,Mass Market,2,Ernest Cline,9.99,9780804190145,5,6
No Middle Name,3/21/2018,Mass Market,3,Lee Child,9.99,9780399593598,2,11
The Fix,3/21/2018,Mass Market,4,David Baldacci,9.99,9781455586585,3,3
Red Sparrow,3/21/2018,Mass Market,5,Jason Matthews,9.99,9781501168918,4,4
The Whistler,3/21/2018,Mass Market,6,John Grisham,9.99,9781101967683,6,36
The Husband's Secret,3/21/2018,Mass Market,7,Liane Moriarty,9.99,9780451490049,8,35
1984,3/21/2018,Mass Market,8,George Orwell,9.99,9780451524935,,177
Thomas Jefferson and the Tripoli Pirates,3/21/2018,Mass Market,9,Brian Kilmeade,9.99,9780143131830,,4
The Cutthroat,3/21/2018,Mass Market,10,Clive Cussler,9.99,9780399575624,7,3
Camino Island,3/28/2018,Mass Market,1,John Grisham,9.99,9781524797157,1,3
Ready Player One,3/28/2018,Mass Market,2,Ernest Cline,9.99,9780804190145,2,7
No Middle Name,3/28/2018,Mass Market,3,Lee Child,9.99,9780399593598,3,12
Red Sparrow,3/28/2018,Mass Market,4,Jason Matthews,9.99,9781501168918,5,5
The Fix,3/28/2018,Mass Market,5,David Baldacci,9.99,9781455586585,4,4
The Whistler,3/28/2018,Mass Market,6,John Grisham,9.99,9781101967683,6,37
The Husband's Secret,3/28/2018,Mass Market,7,Liane Moriarty,9.99,9780451490049,7,36
Never Never,3/28/2018,Mass Market,8,James Patterson,9.99,9781478944782,,12
The Cutthroat,3/28/2018,Mass Market,9,Clive Cussler,9.99,9780399575624,10,4
Thomas Jefferson and the Tripoli Pirates,3/28/2018,Mass Market,10,Brian Kilmeade,9.99,9780143131830,9,5
Lincoln in the Bardo,3/7/2018,Trade Paperback Fiction,1,George Saunders,17,9780812985405,1,4
The Underground Railroad,3/7/2018,Trade Paperback Fiction,2,Colson Whitehead,16.95,9780345804327,2,5
Pachinko,3/7/2018,Trade Paperback Fiction,3,Min Jin Lee,15.99,9781455563920,3,16
Small Great Things,3/7/2018,Trade Paperback Fiction,4,Jodi Picoult,17,9780345544971,10,2
Ready Player One,3/7/2018,Trade Paperback Fiction,5,Ernest Cline,16,9780804190138,5,4
Annihilation,3/7/2018,Trade Paperback Fiction,6,Jeff VanderMeer,14,9780374537159,,1
Beartown,3/7/2018,Trade Paperback Fiction,7,Fredrik Backman,17,9781501160776,4,4
The Woman in Cabin 10,3/7/2018,Trade Paperback Fiction,8,Ruth Ware,16,9781501132957,7,47
Exit West,3/7/2018,Trade Paperback Fiction,9,Mohsin Hamid,16,9780735212206,,1
We Were the Lucky Ones,3/7/2018,Trade Paperback Fiction,10,Georgia Hunter,16,9780399563096,9,9
Call Me by Your Name,3/7/2018,Trade Paperback Fiction,11,Andre Aciman,17,9781250169440,14,8
The Women in the Castle,3/7/2018,Trade Paperback Fiction,12,Jessica Shattuck,16.99,9780062563675,6,9
All the Light We Cannot See,3/7/2018,Trade Paperback Fiction,13,Anthony Doerr,17,9781501173219,12,48
Red Sparrow,3/7/2018,Trade Paperback Fiction,14,Jason Matthews,17,9781501171574,,1
Milk and Honey,3/7/2018,Trade Paperback Fiction,15,Rupi Kaur,14.99,9781449474256,15,78
Lincoln in the Bardo,3/14/2018,Trade Paperback Fiction,1,George Saunders,17,9780812985405,1,5
The Underground Railroad,3/14/2018,Trade Paperback Fiction,2,Colson Whitehead,16.95,9780345804327,2,6
Pachinko,3/14/2018,Trade Paperback Fiction,3,Min Jin Lee,15.99,9781455563920,3,17
Call Me by Your Name,3/14/2018,Trade Paperback Fiction,4,Andre Aciman,17,9781250169440,11,9
Small Great Things,3/14/2018,Trade Paperback Fiction,5,Jodi Picoult,17,9780345544971,4,3
Exit West,3/14/2018,Trade Paperback Fiction,6,Mohsin Hamid,16,9780735212206,9,2
The Woman in Cabin 10,3/14/2018,Trade Paperback Fiction,7,Ruth Ware,16,9781501132957,8,48
We Were the Lucky Ones,3/14/2018,Trade Paperback Fiction,8,Georgia Hunter,16,9780399563096,10,10
Beartown,3/14/2018,Trade Paperback Fiction,9,Fredrik Backman,17,9781501160776,7,5
Norse Mythology,3/14/2018,Trade Paperback Fiction,10,Neil Gaiman,15.95,9780393356182,,1
Ready Player One,3/14/2018,Trade Paperback Fiction,11,Ernest Cline,16,9780804190138,5,5
All the Light We Cannot See,3/14/2018,Trade Paperback Fiction,12,Anthony Doerr,17,9781501173219,13,49
Annihilation,3/14/2018,Trade Paperback Fiction,13,Jeff VanderMeer,14,9780374537159,6,2
The Couple Next Door,3/14/2018,Trade Paperback Fiction,14,Shari Lapena,16,9780735221109,,40
The Women in the Castle,3/14/2018,Trade Paperback Fiction,15,Jessica Shattuck,16.99,9780062563675,12,10
Lincoln in the Bardo,3/21/2018,Trade Paperback Fiction,1,George Saunders,17,9780812985405,1,6
The Underground Railroad,3/21/2018,Trade Paperback Fiction,2,Colson Whitehead,16.95,9780345804327,2,7
Exit West,3/21/2018,Trade Paperback Fiction,3,Mohsin Hamid,16,9780735212206,6,3
Norse Mythology,3/21/2018,Trade Paperback Fiction,4,Neil Gaiman,15.95,9780393356182,10,2
Pachinko,3/21/2018,Trade Paperback Fiction,5,Min Jin Lee,15.99,9781455563920,3,18
Call Me by Your Name,3/21/2018,Trade Paperback Fiction,6,Andre Aciman,17,9781250169440,4,10
Small Great Things,3/21/2018,Trade Paperback Fiction,7,Jodi Picoult,17,9780345544971,5,4
Beartown,3/21/2018,Trade Paperback Fiction,8,Fredrik Backman,17,9781501160776,9,6
Ready Player One,3/21/2018,Trade Paperback Fiction,9,Ernest Cline,16,9780804190138,11,6
The Woman in Cabin 10,3/21/2018,Trade Paperback Fiction,10,Ruth Ware,16,9781501132957,7,49
The Lying Game,3/21/2018,Trade Paperback Fiction,11,Ruth Ware,16.99,9781501156205,,1
We Were the Lucky Ones,3/21/2018,Trade Paperback Fiction,12,Georgia Hunter,16,9780399563096,8,11
All the Light We Cannot See,3/21/2018,Trade Paperback Fiction,13,Anthony Doerr,17,9781501173219,12,50
Milk and Honey,3/21/2018,Trade Paperback Fiction,14,Rupi Kaur,14.99,9781449474256,,79
The Couple Next Door,3/21/2018,Trade Paperback Fiction,15,Shari Lapena,16,9780735221109,14,41
Lincoln in the Bardo,3/28/2018,Trade Paperback Fiction,1,George Saunders,17,9780812985405,1,7
The Underground Railroad,3/28/2018,Trade Paperback Fiction,2,Colson Whitehead,16.95,9780345804327,2,8
Ready Player One,3/28/2018,Trade Paperback Fiction,3,Ernest Cline,16,9780804190138,9,7
Norse Mythology,3/28/2018,Trade Paperback Fiction,4,Neil Gaiman,15.95,9780393356182,4,3
Pachinko,3/28/2018,Trade Paperback Fiction,5,Min Jin Lee,15.99,9781455563920,5,19
Exit West,3/28/2018,Trade Paperback Fiction,6,Mohsin Hamid,16,9780735212206,3,4
The Woman in Cabin 10,3/28/2018,Trade Paperback Fiction,7,Ruth Ware,16,9781501132957,10,50
Call Me by Your Name,3/28/2018,Trade Paperback Fiction,8,Andre Aciman,17,9781250169440,6,11
Small Great Things,3/28/2018,Trade Paperback Fiction,9,Jodi Picoult,17,9780345544971,7,5
Beartown,3/28/2018,Trade Paperback Fiction,10,Fredrik Backman,17,9781501160776,8,7
The Lying Game,3/28/2018,Trade Paperback Fiction,11,Ruth Ware,16.99,9781501156205,11,2
All the Light We Cannot See,3/28/2018,Trade Paperback Fiction,12,Anthony Doerr,17,9781501173219,13,51
We Were the Lucky Ones,3/28/2018,Trade Paperback Fiction,13,Georgia Hunter,16,9780399563096,12,12
The Couple Next Door,3/28/2018,Trade Paperback Fiction,14,Shari Lapena,16,9780735221109,15,42
Camino Island,3/28/2018,Trade Paperback Fiction,15,John Grisham,17,9781524797140,,1
You Are a Badass,3/7/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,137
The Stranger in the Woods,3/7/2018,Trade Paperback Nonfiction,2,Michael Finkel,16,9781101911532,2,2
The Silk Roads,3/7/2018,Trade Paperback Nonfiction,3,Peter Frankopan,20,9781101912379,3,14
12 Strong,3/7/2018,Trade Paperback Nonfiction,4,Doug Stanton,18,9781501178511,4,10
Invisible Influence,3/7/2018,Trade Paperback Nonfiction,5,Jonah Berger,16,9781476759739,5,37
HBR's 10 Must Reads on Emotional Intelligence,3/7/2018,Trade Paperback Nonfiction,6,Harvard Business School Press,24.95,9781633690196,7,79
Being Mortal,3/7/2018,Trade Paperback Nonfiction,7,Atul Gawande,16,9781250076229,6,26
HBR's 10 Must Reads on Managing Yourself,3/7/2018,Trade Paperback Nonfiction,8,Harvard Business School Press,24.95,9781422157992,8,59
The Lost City of the Monkey God,3/7/2018,Trade Paperback Nonfiction,9,Douglas J. Preston,15.99,9781455540013,14,25
Evicted,3/7/2018,Trade Paperback Nonfiction,10,Matthew Desmond,17,9780553447453,9,42
On Tyranny,3/7/2018,Trade Paperback Nonfiction,11,Timothy Snyder,7.99,9780804190114,10,50
Churchill's Ministry of Ungentlemanly Warfare: The Mavericks Who Plotted Hitler's Defeat,3/7/2018,Trade Paperback Nonfiction,12,Giles Milton,16,9781250119032,,1
Start With Why,3/7/2018,Trade Paperback Nonfiction,13,Simon Sinek,16,9781591846444,11,5
Presence: Bringing Your Boldest Self to Your Biggest Challenges,3/7/2018,Trade Paperback Nonfiction,14,Amy Cuddy,16.99,9780316256582,,1
The Four Agreements,3/7/2018,Trade Paperback Nonfiction,15,Don Miguel Ruiz,12.95,9781878424310,11,15
You Are a Badass,3/14/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,138
The Silk Roads,3/14/2018,Trade Paperback Nonfiction,2,Peter Frankopan,20,9781101912379,3,15
The Stranger in the Woods,3/14/2018,Trade Paperback Nonfiction,3,Michael Finkel,16,9781101911532,2,3
Invisible Influence,3/14/2018,Trade Paperback Nonfiction,4,Jonah Berger,16,9781476759739,5,38
HBR's 10 Must Reads on Mental Toughness,3/14/2018,Trade Paperback Nonfiction,5,Harvard Business School Press,24.95,9781633694361,,1
12 Strong,3/14/2018,Trade Paperback Nonfiction,6,Doug Stanton,18,9781501178511,4,11
HBR's 10 Must Reads on Emotional Intelligence,3/14/2018,Trade Paperback Nonfiction,7,Harvard Business School Press,24.95,9781633690196,6,80
Being Mortal,3/14/2018,Trade Paperback Nonfiction,8,Atul Gawande,16,9781250076229,7,27
HBR's 10 Must Reads on Managing Yourself,3/14/2018,Trade Paperback Nonfiction,9,Harvard Business School Press,24.95,9781422157992,8,60
Who Thought This Was a Good Idea?,3/14/2018,Trade Paperback Nonfiction,10,Alyssa Mastromonaco,15.99,9781455588237,,1
The Lost City of the Monkey God,3/14/2018,Trade Paperback Nonfiction,11,Douglas J. Preston,15.99,9781455540013,9,26
On Tyranny,3/14/2018,Trade Paperback Nonfiction,12,Timothy Snyder,7.99,9780804190114,11,51
Evicted,3/14/2018,Trade Paperback Nonfiction,13,Matthew Desmond,17,9780553447453,10,43
Everybody Lies,3/14/2018,Trade Paperback Nonfiction,14,Seth Stephens-Davidowitz,16.99,9780062390868,,1
"If I Understood You, Would I Have This Look on My Face?",3/14/2018,Trade Paperback Nonfiction,15,Alan Alda,17,9780812989151,,1
You Are a Badass,3/21/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,139
The Silk Roads,3/21/2018,Trade Paperback Nonfiction,2,Peter Frankopan,20,9781101912379,2,16
The Stranger in the Woods,3/21/2018,Trade Paperback Nonfiction,3,Michael Finkel,16,9781101911532,3,4
Invisible Influence,3/21/2018,Trade Paperback Nonfiction,4,Jonah Berger,16,9781476759739,4,39
HBR's 10 Must Reads on Mental Toughness,3/21/2018,Trade Paperback Nonfiction,5,Harvard Business School Press,24.95,9781633694361,5,2
Who Thought This Was a Good Idea?,3/21/2018,Trade Paperback Nonfiction,6,Alyssa Mastromonaco,15.99,9781455588237,10,2
HBR's 10 Must Reads on Managing Yourself,3/21/2018,Trade Paperback Nonfiction,7,Harvard Business School Press,24.95,9781422157992,9,61
HBR's 10 Must Reads on Emotional Intelligence,3/21/2018,Trade Paperback Nonfiction,8,Harvard Business School Press,24.95,9781633690196,7,81
12 Strong,3/21/2018,Trade Paperback Nonfiction,9,Doug Stanton,18,9781501178511,6,12
Everybody Lies,3/21/2018,Trade Paperback Nonfiction,10,Seth Stephens-Davidowitz,16.99,9780062390868,14,2
Being Mortal,3/21/2018,Trade Paperback Nonfiction,11,Atul Gawande,16,9781250076229,8,28
"If I Understood You, Would I Have This Look on My Face?",3/21/2018,Trade Paperback Nonfiction,12,Alan Alda,17,9780812989151,15,2
Evicted,3/21/2018,Trade Paperback Nonfiction,13,Matthew Desmond,17,9780553447453,13,44
We Should All Be Feminists,3/21/2018,Trade Paperback Nonfiction,14,Chimamanda Ngozi Adichie,7.95,9781101911761,,81
A Brief History of Time,3/21/2018,Trade Paperback Nonfiction,15,Stephen Hawking,18,9780553380163,,1
You Are a Badass,3/28/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,140
The Silk Roads,3/28/2018,Trade Paperback Nonfiction,2,Peter Frankopan,20,9781101912379,2,17
HBR's 10 Must Reads on Mental Toughness,3/28/2018,Trade Paperback Nonfiction,3,Harvard Business School Press,24.95,9781633694361,5,3
The Stranger in the Woods,3/28/2018,Trade Paperback Nonfiction,4,Michael Finkel,16,9781101911532,3,5
Who Thought This Was a Good Idea?,3/28/2018,Trade Paperback Nonfiction,5,Alyssa Mastromonaco,15.99,9781455588237,6,3
Invisible Influence,3/28/2018,Trade Paperback Nonfiction,6,Jonah Berger,16,9781476759739,4,40
HBR's 10 Must Reads on Emotional Intelligence,3/28/2018,Trade Paperback Nonfiction,7,Harvard Business School Press,24.95,9781633690196,8,82
"If I Understood You, Would I Have This Look on My Face?",3/28/2018,Trade Paperback Nonfiction,8,Alan Alda,17,9780812989151,12,3
HBR's 10 Must Reads on Managing Yourself,3/28/2018,Trade Paperback Nonfiction,9,Harvard Business School Press,24.95,9781422157992,7,62
12 Strong,3/28/2018,Trade Paperback Nonfiction,10,Doug Stanton,18,9781501178511,9,13
Being Mortal,3/28/2018,Trade Paperback Nonfiction,11,Atul Gawande,16,9781250076229,11,29
Everybody Lies,3/28/2018,Trade Paperback Nonfiction,12,Seth Stephens-Davidowitz,16.99,9780062390868,10,3
The Lost City of the Monkey God,3/28/2018,Trade Paperback Nonfiction,13,Douglas J. Preston,15.99,9781455540013,,27
On Tyranny,3/28/2018,Trade Paperback Nonfiction,14,Timothy Snyder,7.99,9780804190114,,52
Evicted,3/28/2018,Trade Paperback Nonfiction,15,Matthew Desmond,17,9780553447453,13,45
The Hate U Give,3/7/2018,Young Adult,1,Angie Thomas,17.99,9780062498533,,
Turtles All the Way Down,3/7/2018,Young Adult,2,John Green,19.99,9780525555360,,
Simon vs. the Homo Sapiens Agenda,3/7/2018,Young Adult,3,Becky Albertalli,10.99,9780062792167,,
Every Day,3/7/2018,Young Adult,4,David Levithan,10.99,9780525581611,,
The Book of Dust: La Belle Sauvage,3/7/2018,Young Adult,5,Philip Pullman,22.99,9780375815300,,
"Everything, Everything",3/7/2018,Young Adult,6,Nicola Yoon,10.99,9781524769604,,
Tempests and Slaughter,3/7/2018,Young Adult,7,Tamora Pierce,18.99,9780375847110,,
The Prince and the Dressmaker,3/7/2018,Young Adult,8,Jen Wang,16.99,9781626723634,,
Tess of the Road,3/7/2018,Young Adult,9,Rachel Hartman,18.99,9781101931288,,
The Fault in Our Stars,3/7/2018,Young Adult,10,John Green,12.99,9780142424179,,
The Book Thief,3/7/2018,Young Adult,11,Markus Zusak,12.99,9780385754729,,
The Sun Is Also a Star,3/7/2018,Young Adult,12,Nicola Yoon,18.99,9780553496680,,
The Cruel Prince,3/7/2018,Young Adult,13,Holly Black,18.99,9780316310277,,
We Are Okay,3/7/2018,Young Adult,14,Nina LaCour,17.99,9780525425892,,
Renegades,3/7/2018,Young Adult,15,Marissa Meyer,19.99,9781250044662,,
Children of Blood and Bone,3/14/2018,Young Adult,1,Tomi Adeyemi,18.99,9781250170972,,
The Hate U Give,3/14/2018,Young Adult,2,Angie Thomas,17.99,9780062498533,,
Simon vs. the Homo Sapiens Agenda,3/14/2018,Young Adult,3,Becky Albertalli,10.99,9780062792167,,
Turtles All the Way Down,3/14/2018,Young Adult,4,John Green,19.99,9780525555360,,
Every Day,3/14/2018,Young Adult,5,David Levithan,10.99,9780525581611,,
The Prince and the Dressmaker,3/14/2018,Young Adult,6,Jen Wang,16.99,9781626723634,,
"Everything, Everything",3/14/2018,Young Adult,7,Nicola Yoon,10.99,9781524769604,,
The Fault in Our Stars,3/14/2018,Young Adult,8,John Green,12.99,9780142424179,,
The Book of Dust: La Belle Sauvage,3/14/2018,Young Adult,9,Philip Pullman,22.99,9780375815300,,
Tempests and Slaughter,3/14/2018,Young Adult,10,Tamora Pierce,18.99,9780375847110,,
Salt to the Sea,3/14/2018,Young Adult,11,Ruta Sepetys,10.99,9780142423622,,
One of Us Is Lying,3/14/2018,Young Adult,12,Karen M. McManus,17.99,9781524714680,,
The Poet X,3/14/2018,Young Adult,13,Elizabeth Acevedo,17.99,9780062662804,,
The Book Thief,3/14/2018,Young Adult,14,Markus Zusak,12.99,9780385754729,,
Tess of the Road,3/14/2018,Young Adult,15,Rachel Hartman,18.99,9781101931288,,
Children of Blood and Bone,3/21/2018,Young Adult,1,Tomi Adeyemi,18.99,9781250170972,,
The Hate U Give,3/21/2018,Young Adult,2,Angie Thomas,17.99,9780062498533,,
Simon vs. the Homo Sapiens Agenda,3/21/2018,Young Adult,3,Becky Albertalli,10.99,9780062792167,,
Turtles All the Way Down,3/21/2018,Young Adult,4,John Green,19.99,9780525555360,,
Every Day,3/21/2018,Young Adult,5,David Levithan,10.99,9780525581611,,
The Book Thief,3/21/2018,Young Adult,6,Markus Zusak,12.99,9780385754729,,
The Fault in Our Stars,3/21/2018,Young Adult,7,John Green,12.99,9780142424179,,
The Prince and the Dressmaker,3/21/2018,Young Adult,8,Jen Wang,16.99,9781626723634,,
Tess of the Road,3/21/2018,Young Adult,9,Rachel Hartman,18.99,9781101931288,,
The Sun Is Also a Star,3/21/2018,Young Adult,10,Nicola Yoon,18.99,9780553496680,,
"Everything, Everything",3/21/2018,Young Adult,11,Nicola Yoon,10.99,9781524769604,,
The Book of Dust: La Belle Sauvage,3/21/2018,Young Adult,12,Philip Pullman,22.99,9780375815300,,
Tempests and Slaughter,3/21/2018,Young Adult,13,Tamora Pierce,18.99,9780375847110,,
The Poet X,3/21/2018,Young Adult,14,Elizabeth Acevedo,17.99,9780062662804,,
One of Us Is Lying,3/21/2018,Young Adult,15,Karen M. McManus,17.99,9781524714680,,
Children of Blood and Bone,3/28/2018,Young Adult,1,Tomi Adeyemi,18.99,9781250170972,,
Simon vs. the Homo Sapiens Agenda,3/28/2018,Young Adult,2,Becky Albertalli,10.99,9780062792167,,
The Hate U Give,3/28/2018,Young Adult,3,Angie Thomas,17.99,9780062498533,,
Turtles All the Way Down,3/28/2018,Young Adult,4,John Green,19.99,9780525555360,,
The Prince and the Dressmaker,3/28/2018,Young Adult,5,Jen Wang,16.99,9781626723634,,
The Fault in Our Stars,3/28/2018,Young Adult,6,John Green,12.99,9780142424179,,
Every Day,3/28/2018,Young Adult,7,David Levithan,10.99,9780525581611,,
"Everything, Everything",3/28/2018,Young Adult,8,Nicola Yoon,10.99,9781524769604,,
One of Us Is Lying,3/28/2018,Young Adult,9,Karen M. McManus,17.99,9781524714680,,
The Book of Dust: La Belle Sauvage,3/28/2018,Young Adult,10,Philip Pullman,22.99,9780375815300,,
The Sun Is Also a Star,3/28/2018,Young Adult,11,Nicola Yoon,18.99,9780553496680,,
The Book Thief,3/28/2018,Young Adult,12,Markus Zusak,12.99,9780385754729,,
The Cruel Prince,3/28/2018,Young Adult,13,Holly Black,18.99,9780316310277,,
"Orphan, Monster, Spy",3/28/2018,Young Adult,14,Matt Killeen,18.99,9780451478733,,
The Astonishing Color of After (An Indies Introduce Title),3/28/2018,Young Adult,15,Emily X.R. Pan,18.99,9780316463997,,
Wonder,1/3/2018,Early & Middle,1,R.J. Palacio,16.99,9781524720193,,
A Wrinkle in Time,1/3/2018,Early & Middle,2,Madeleine L'Engle,8.99,9781250153272,,
Auggie & Me,1/3/2018,Early & Middle,3,R.J. Palacio,16.99,9781101934852,,
The Girl Who Drank the Moon,1/3/2018,Early & Middle,4,Kelly Barnhill,16.95,9781616205676,,
All's Faire in Middle School,1/3/2018,Early & Middle,5,Victoria Jamieson,12.99,9780525429999,,
Drama,1/3/2018,Early & Middle,6,Raina Telgemeier,10.99,9780545326995,,
Star Wars the Last Jedi: The Visual Dictionary,1/3/2018,Early & Middle,7,Pablo Hidalgo,22.99,9781465455512,,
Smile,1/3/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545132060,,
The War That Saved My Life,1/3/2018,Early & Middle,9,Kimberly Brubaker Bradley,8.99,9780147510488,,
Ghosts,1/3/2018,Early & Middle,10,Raina Telgemeier,10.99,9780545540629,,
Wishtree,1/3/2018,Early & Middle,11,Katherine Applegate,16.99,9781250043221,,
365 Days of Wonder: Mr. Browne's Precepts,1/3/2018,Early & Middle,12,R.J. Palacio,9.99,9780399559181,,
Nevermoor: The Trials of Morrigan Crow,1/3/2018,Early & Middle,13,Jessica Townsend,17.99,9780316508889,,
Sisters,1/3/2018,Early & Middle,14,Raina Telgemeier,10.99,9780545540605,,
Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,1/3/2018,Early & Middle,15,Pete Souza,21.99,9780316514392,,
A Wrinkle in Time,1/10/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,1/10/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
Auggie & Me,1/10/2018,Early & Middle,3,R.J. Palacio,16.99,9781101934852,,
The Girl Who Drank the Moon,1/10/2018,Early & Middle,4,Kelly Barnhill,16.95,9781616205676,,
All's Faire in Middle School,1/10/2018,Early & Middle,5,Victoria Jamieson,12.99,9780525429999,,
Drama,1/10/2018,Early & Middle,6,Raina Telgemeier,10.99,9780545326995,,
The War That Saved My Life,1/10/2018,Early & Middle,7,Kimberly Brubaker Bradley,8.99,9780147510488,,
Smile,1/10/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545132060,,
365 Days of Wonder: Mr. Browne's Precepts,1/10/2018,Early & Middle,9,R.J. Palacio,9.99,9780399559181,,
Sisters,1/10/2018,Early & Middle,10,Raina Telgemeier,10.99,9780545540605,,
Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,1/10/2018,Early & Middle,11,Pete Souza,21.99,9780316514392,,
The War I Finally Won,1/10/2018,Early & Middle,12,Kimberly Brubaker Bradley,16.99,9780525429203,,
Wishtree,1/10/2018,Early & Middle,13,Katherine Applegate,16.99,9781250043221,,
Real Friends,1/10/2018,Early & Middle,14,Shannon Hale & LeUyen Pham (Illus.),12.99,9781626727854,,
Roller Girl,1/10/2018,Early & Middle,15,Victoria Jamieson,12.99,9780803740167,,
A Wrinkle in Time,1/17/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,1/17/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
Auggie & Me,1/17/2018,Early & Middle,3,R.J. Palacio,16.99,9781101934852,,
All's Faire in Middle School,1/17/2018,Early & Middle,4,Victoria Jamieson,12.99,9780525429999,,
The Girl Who Drank the Moon,1/17/2018,Early & Middle,5,Kelly Barnhill,16.95,9781616205676,,
The War That Saved My Life,1/17/2018,Early & Middle,6,Kimberly Brubaker Bradley,8.99,9780147510488,,
Wishtree,1/17/2018,Early & Middle,7,Katherine Applegate,16.99,9781250043221,,
Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,1/17/2018,Early & Middle,8,Pete Souza,21.99,9780316514392,,
The War I Finally Won,1/17/2018,Early & Middle,9,Kimberly Brubaker Bradley,16.99,9780525429203,,
Roller Girl,1/17/2018,Early & Middle,10,Victoria Jamieson,12.99,9780803740167,,
Pax,1/17/2018,Early & Middle,11,Sara Pennypacker & Jon Klassen (Illus.),16.99,9780062377012,,
